member_id,applicant_id,cooperative_id,cooperative_name_en,cooperative_name_np,cooperative_type,province_en,district_en,municipality_en,membership_year_bs,share_count,share_value_each_nrs,total_share_value_nrs,last_annual_dividend_nrs,outstanding_loan_nrs,coop_loan_repayment_status,membership_status
CMEM-AP-000002,AP-000002,COOP-KAV-0006,Chandrapur Farmers Cooperative,चन्द्रपुर किसान सहकारी,agricultural,Karnali,Surkhet,Birendranagar Municipality,2073,8,1000,8000,560,0.0,none,active
CMEM-AP-000003,AP-000003,COOP-JHP-0002,Birtamod Savings Cooperative,बिर्तामोड बचत सहकारी,savings_credit,Gandaki,Kaski,Pokhara Metropolitan City,2073,5,1000,5000,600,32468.83,current,active
CMEM-AP-000009,AP-000009,COOP-JHP-0002,Birtamod Savings Cooperative,बिर्तामोड बचत सहकारी,savings_credit,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,2077,32,1000,32000,2240,0.0,none,active
CMEM-AP-000011,AP-000011,COOP-KAV-0007,Roshi Valley Dairy Cooperative,रोशी उपत्यका डेरी सहकारी,dairy,Bagmati,Kavrepalanchok,Banepa Municipality,2075,33,1000,33000,1980,0.0,none,active
CMEM-AP-000015,AP-000015,COOP-KAV-0005,Himalayan Coffee Tea Cooperative,हिमालयन कफी चिया सहकारी,coffee_tea,Karnali,Surkhet,Birendranagar Municipality,2072,32,1000,32000,3840,0.0,none,active
CMEM-AP-000017,AP-000017,COOP-KAV-0007,Roshi Valley Dairy Cooperative,रोशी उपत्यका डेरी सहकारी,dairy,Koshi,Jhapa,Mechinagar Municipality,2080,49,1000,49000,4410,0.0,none,active
CMEM-AP-000018,AP-000018,COOP-JHP-0002,Birtamod Savings Cooperative,बिर्तामोड बचत सहकारी,savings_credit,Karnali,Surkhet,Birendranagar Municipality,2075,50,1000,50000,5500,0.0,none,active
CMEM-AP-000019,AP-000019,COOP-KAV-0004,Kavrepalanchok Vegetable Cooperative,काभ्रे तरकारी सहकारी,vegetable,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,2080,41,1000,41000,3690,28485.63,overdue,active
CMEM-AP-000022,AP-000022,COOP-KAV-0003,Panauti Savings Credit Cooperative,पनौती बचत तथा ऋण सहकारी,savings_credit,Bagmati,Lalitpur,Lalitpur Metropolitan City,2073,43,1000,43000,3440,16569.09,current,inactive
CMEM-AP-000024,AP-000024,COOP-KAV-0002,Banepa Dairy Cooperative,बनेपा डेरी सहकारी,dairy,Karnali,Surkhet,Birendranagar Municipality,2075,37,1000,37000,4070,46656.3,current,active
CMEM-AP-000026,AP-000026,COOP-JHP-0003,Mechi Tea Cooperative,मेची चिया सहकारी,coffee_tea,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,2072,9,1000,9000,630,0.0,none,active
CMEM-AP-000028,AP-000028,COOP-JHP-0001,Jhapa Agri Cooperative,झापा कृषि सहकारी,agricultural,Lumbini,Rupandehi,Siddharthanagar Municipality,2074,47,1000,47000,2820,0.0,none,inactive
CMEM-AP-000030,AP-000030,COOP-KAV-0007,Roshi Valley Dairy Cooperative,रोशी उपत्यका डेरी सहकारी,dairy,Bagmati,Kavrepalanchok,Panauti Municipality,2079,18,1000,18000,1440,0.0,none,active
CMEM-AP-000031,AP-000031,COOP-JHP-0003,Mechi Tea Cooperative,मेची चिया सहकारी,coffee_tea,Bagmati,Kavrepalanchok,Banepa Municipality,2078,20,1000,20000,1800,0.0,none,active
CMEM-AP-000032,AP-000032,COOP-KAV-0001,Kavrepalanchok Krishak Sahakari Sanstha Ltd.,काभ्रेपलाञ्चोक कृषक सहकारी संस्था लि.,agricultural,Madhesh,Sarlahi,Lalbandi Municipality,2072,22,1000,22000,2200,49055.61,overdue,active
CMEM-AP-000035,AP-000035,COOP-KAV-0003,Panauti Savings Credit Cooperative,पनौती बचत तथा ऋण सहकारी,savings_credit,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,2076,40,1000,40000,4800,0.0,none,active
CMEM-AP-000040,AP-000040,COOP-KAV-0006,Chandrapur Farmers Cooperative,चन्द्रपुर किसान सहकारी,agricultural,Karnali,Surkhet,Birendranagar Municipality,2077,40,1000,40000,4400,0.0,none,active
CMEM-AP-000041,AP-000041,COOP-JHP-0003,Mechi Tea Cooperative,मेची चिया सहकारी,coffee_tea,Lumbini,Rupandehi,Siddharthanagar Municipality,2078,45,1000,45000,4950,0.0,none,active
CMEM-AP-000045,AP-000045,COOP-KAV-0004,Kavrepalanchok Vegetable Cooperative,काभ्रे तरकारी सहकारी,vegetable,Karnali,Surkhet,Birendranagar Municipality,2079,26,1000,26000,3120,20029.66,current,active
CMEM-AP-000046,AP-000046,COOP-KAV-0005,Himalayan Coffee Tea Cooperative,हिमालयन कफी चिया सहकारी,coffee_tea,Karnali,Surkhet,Birendranagar Municipality,2073,33,1000,33000,2640,0.0,none,active
